origin, destination, kpi
de:09464:60:0:2,de:09464:61:0:2,0.0
de:09464:60:0:2,de:09464:14:0:1,0.0
de:09464:60:0:2,de:09464:14:0:2,0.0
de:09464:60:0:2,de:09464:61:0:1_G_G,4.5454545454545455E-4
de:09464:60:0:2,de:09464:60:0:1,0.0
de:09464:60:0:2,de:09464:14:0:2_G_G,0.0
de:09464:60:0:2,de:09464:60:0:1_G,3.0303030303030306E-5
de:09464:60:0:2,de:09464:14:0:2_G,0.0
de:09464:60:0:2,de:09464:14:0:1_G,0.0
de:09464:60:0:2,de:09464:99017:0:1,0.0
de:09464:60:0:2,de:09464:61:0:2_G,0.0
de:09464:60:0:2,de:09464:62:0:1_G_G,6.363636363636363E-4
de:09464:60:0:2,de:09464:14:0:1_G_G,0.0
de:09464:17:0:2,de:09464:11:0:N,0.20800000000000007
de:09464:17:0:2,de:09464:11:0:N,0.20800000000000007
de:09464:17:0:1,de:09464:99015:0:1,4.923076923076923
de:09464:62:0:2,de:09464:33:0:1,0.0
de:09464:62:0:2,de:09464:33:0:1,0.0
de:09464:17:0:1,de:09464:99015:0:1,4.923076923076923
de:09464:76:0:1,de:09464:76:0:1,0.0
de:09464:180:0:1,de:09464:19:3:10a,2.865714285714286
de:09475:9180:0:1,de:09475:9180:0:1,0.0
de:09475:9180:0:1,de:09475:9180:0:1,0.0
de:09475:9180:0:1,de:09475:9180:0:1,0.0
de:09475:8934:0:1,de:09475:9180:0:2,0.0
de:09475:8934:0:1,de:09475:9180:0:2,0.0
de:09475:8934:0:1,de:09475:9180:0:2,0.0
de:09475:8934:0:1,de:09475:9180:0:2,0.0
de:09475:8993:0:2,de:09475:8995:0:2,0.002324175824175824
de:09475:8993:0:2,de:09475:8995:0:2,0.002324175824175824
de:09475:8993:0:2,de:09475:8995:0:2,0.002324175824175824
de:09475:8993:0:2,de:09475:8995:0:2,0.002324175824175824
de:09475:9219:0:2,de:09475:9216:0:2,0.022926829268292672
de:09475:9219:0:2,de:09475:9216:0:2,0.022926829268292672
de:09475:9219:0:2,de:09475:9216:0:2,0.022926829268292672
de:09475:9219:0:2,de:09475:9216:0:2,0.022926829268292672
de:09475:9219:0:2,de:09475:9216:0:2,0.022926829268292672
de:09475:9219:0:2,de:09475:9216:0:2,0.022926829268292672
de:09472:23341:0:2,de:09472:23341:0:2,0.0
de:09472:23341:0:2,de:09472:23341:0:2,0.0
de:09475:8836:0:1,de:09475:9123:0:2,0.06187500000000001
de:09472:23341:0:2,de:09472:23341:0:2,0.0
de:09475:9219:0:2,de:09475:9216:0:2,0.022926829268292672
de:09475:9219:0:2,de:09475:9216:0:2,0.5124146341463411
de:09475:9219:0:2,de:09475:9216:0:2,0.5124146341463411
de:09475:9219:0:2,de:09475:9216:0:2,0.5124146341463411
de:09475:9219:0:2,de:09475:9216:0:2,13.355487804878047
de:09475:9219:0:2,de:09475:9216:0:2,13.355487804878047
de:09475:9219:0:2,de:09475:9216:0:2,13.355487804878047
de:09475:9219:0:2,de:09475:9216:0:2,13.355487804878047
de:09475:9219:0:2,de:09475:9216:0:2,0.0
de:09475:9219:0:2,de:09475:9216:0:2,0.0
de:09475:9219:0:2,de:09475:9216:0:2,1.3823916122246078
de:09475:9219:0:2,de:09475:9216:0:2,1.320539638523283
de:09475:9219:0:2,de:09475:9216:0:2,1.320539638523283
de:09475:9219:0:2,de:09475:9216:0:2,1.320539638523283
de:09475:9219:0:2,de:09475:9216:0:2,1.320539638523283
de:09475:9219:0:2,de:09475:9216:0:2,1.320539638523283
de:09475:9219:0:2,de:09475:9216:0:2,1.8988555926306692
de:09475:9219:0:2,de:09475:9216:0:2,2.155541283491167
de:09475:9219:0:2,de:09475:9216:0:2,0.0
de:09475:9219:0:2,de:09475:9216:0:2,0.0
de:09475:9219:0:2,de:09475:9216:0:2,0.0
de:09475:9219:0:2,de:09475:9216:0:2,25.393749999999994
de:09475:9219:0:2,de:09475:9216:0:2,25.393749999999994
de:09475:9219:0:2,de:09475:9216:0:2,11.690752551020406
de:09475:9219:0:2,de:09475:9216:0:2,25.393749999999994
250mN301850E444750,250mN301925E445000,0.0
250mN301850E444750,250mN301925E445000,0.0
de:09475:9219:0:2,de:09475:9216:0:2,25.393749999999994
de:09475:9219:0:2,de:09475:9216:0:2,11.690752551020406
250mN301850E444750,250mN301925E445000,11.690752551020406
250mN301850E444750,250mN301925E445000,11.690752551020406
250mN301850E444750,250mN301925E445000,11.690752551020406
