id,x_center,y_center
250mN303650E445675,11.912222366318998,50.425645517550024
250mN303650E445700,11.915739257603326,50.42558682634457
250mN303650E445725,11.919256140857177,50.425528027323075
250mN303650E445750,11.922773016065852,50.425469120485936
250mN303650E445775,11.926289883214643,50.42541010583357
250mN303625E445400,11.873446942825792,50.42403725719981
250mN303625E445425,11.876963754416296,50.42397975514056
250mN303625E445450,11.880480558139471,50.42392214526683
250mN303625E445475,11.88399735398062,50.42386442757904
250mN303625E445500,11.887514141925026,50.42380660207753
250mN303625E445525,11.891030921958011,50.42374866876273
250mN303625E445550,11.894547694064864,50.42369062763501
250mN303625E445575,11.898064458230877,50.42363247869477
250mN303625E445600,11.901581214441366,50.42357422194241
250mN303625E445625,11.90509796268162,50.42351585737831
250mN303625E445650,11.908614702936946,50.423457385002884
250mN303625E445675,11.912131435192643,50.42339880481649
250mN303625E445700,11.915648159434017,50.42334011681957
250mN303625E445725,11.919164875646361,50.423281321012496
250mN303625E445750,11.92268158381498,50.42322241739567
250mN303625E445775,11.926198283925187,50.42316340596948
250mN303625E445800,11.929714975962264,50.423104286734336
250mN303625E445825,11.933231659911531,50.423045059690644
250mN303625E445850,11.936748335758288,50.422985724838796
250mN303600E445150,11.838190984923788,50.42235956768165
250mN303600E445175,11.841707707325932,50.422303146873
250mN303600E445200,11.84522442200916,50.42224661825187
250mN303600E445225,11.848741128958775,50.42218998181869
250mN303600E445250,11.852257828160086,50.42213323757383
250mN303600E445275,11.855774519598373,50.422076385517684
250mN303600E445300,11.859291203258955,50.4220194256506
250mN303600E445325,11.862807879127118,50.42196235797301
250mN303600E445350,11.866324547188174,50.42190518248528
250mN303600E445375,11.869841207427422,50.42184789918778
250mN303600E445400,11.873357859830152,50.42179050808093
250mN303600E445425,11.876874504381684,50.42173300916511
250mN303600E445450,11.880391141067301,50.421675402440684
250mN303600E445475,11.883907769872309,50.42161768790806
250mN303600E445500,11.88742439078203,50.42155986556763
250mN303600E445525,11.890941003781734,50.421501935419776
250mN303600E445550,11.894457608856731,50.421443897464876
250mN303600E445575,11.897974205992359,50.421385751703376
250mN303600E445600,11.901490795173876,50.42132749813562
250mN303600E445625,11.90500737638661,50.42126913676201
250mN303600E445650,11.908523949615857,50.421210667582955
250mN303600E445675,11.912040514846922,50.42115209059883
250mN303600E445700,11.91555707206511,50.42109340581003
250mN303600E445725,11.919073621255723,50.42103461321698
250mN303600E445750,11.922590162404067,50.42097571282004
250mN303600E445775,11.926106695495452,50.42091670461966
250mN303600E445800,11.929623220515172,50.42085758861619
250mN303600E445825,11.933139737448546,50.420798364810054
250mN303600E445850,11.936656246280867,50.42073903320164
250mN303600E445875,11.940172746997446,50.42067959379135
250mN303600E445900,11.943689239583593,50.4206200465796
250mN303575E444875,11.7994209685496,50.42072626560329
250mN303575E444900,11.80293760784098,50.420671033775974
250mN303575E444925,11.80645423957654,50.42061569413794
250mN303575E444950,11.809970863741587,50.420560246689554
250mN303575E444975,11.813487480321399,50.420504691431205
250mN303575E445000,11.8170040893013,50.42044902836328
250mN303575E445025,11.820520690666577,50.420393257486126
250mN303575E445050,11.824037284402527,50.42033737880013
250mN303575E445075,11.827553870494462,50.4202813923057
250mN303575E445100,11.831070448927672,50.420225298003174
250mN303575E445125,11.834587019687467,50.42016909589295
250mN303575E445150,11.83810358275914,50.4201127859754
250mN303575E445175,11.841620138127995,50.420056368250904
250mN303575E445200,11.845136685779337,50.41999984271986
250mN303575E445225,11.848653225698467,50.41994320938263
250mN303575E445250,11.852169757870689,50.419886468239625
250mN303575E445275,11.855686282281294,50.419829619291185
250mN303575E445300,11.859202798915591,50.41977266253771
250mN303575E445325,11.862719307758898,50.41971559797963
250mN303575E445350,11.866235808796498,50.41965842561727
250mN303575E445375,11.869752302013696,50.41960114545104
250mN303575E445400,11.873268787395812,50.41954375748134
250mN303575E445425,11.876785264928126,50.41948626170853
250mN303575E445450,11.880301734595962,50.41942865813302
250mN303575E445475,11.883818196384622,50.419370946755194
250mN303575E445500,11.887334650279396,50.419313127575464
250mN303575E445525,11.890851096265614,50.41925520059416
250mN303575E445550,11.89436753432855,50.4191971658117
250mN303575E445575,11.897883964453536,50.41913902322853
250mN303575E445600,11.901400386625866,50.41908077284498
250mN303575E445625,11.904916800830845,50.41902241466148
250mN303575E445650,11.908433207053786,50.41896394867839
250mN303575E445675,11.911949605279993,50.418905374896134
250mN303575E445700,11.915465995494767,50.41884669331509
250mN303575E445725,11.918982377683419,50.41878790393566
250mN303575E445750,11.922498751831258,50.41872900675824
250mN303575E445775,11.926015117923596,50.418670001783255
250mN303575E445800,11.929531475945724,50.41861088901105
250mN303575E445825,11.93304782588297,50.41855166844208
250mN303575E445850,11.936564167720633,50.418492340076725
250mN303575E445875,11.940080501444017,50.41843290391534
250mN303575E445900,11.943596827038437,50.41837335995841
250mN303575E445925,11.947113144489208,50.41831370820627
250mN303550E444675,11.771203365688617,50.41891739833313
250mN303550E444700,11.774719897857773,50.418863031976905
250mN303550E444725,11.778236422590073,50.418808557812866
250mN303550E444750,11.78175293987082,50.41875397584142
250mN303550E444775,11.785269449685298,50.41869928606292
250mN303550E444800,11.788785952018822,50.4186444884777
250mN303550E444825,11.79230244685669,50.41858958308618
250mN303550E444850,11.795818934184194,50.41853456988873
250mN303550E444875,11.799335413986647,50.41847944888569
250mN303550E444900,11.802851886249337,50.418424220077426
250mN303550E444925,11.80636835095758,50.41836888346437
250mN303550E444950,11.80988480809667,50.41831343904684
250mN303550E444975,11.813401257651918,50.41825788682523
250mN303550E445000,11.81691769960861,50.41820222679991
250mN303550E445025,11.820434133952059,50.418146458971265
250mN303550E445050,11.823950560667564,50.41809058333967
250mN303550E445075,11.827466979740434,50.41803459990552
250mN303550E445100,11.830983391155971,50.41797850866913
250mN303550E445125,11.834499794899468,50.41792230963094
250mN303550E445150,11.838016190956242,50.41786600279133
250mN303550E445175,11.84153257931159,50.417809588150654
250mN303550E445200,11.845048959950821,50.417753065709306
250mN303550E445225,11.848565332859234,50.41769643546765
250mN303550E445250,11.85208169802214,50.41763969742609
250mN303550E445275,11.85559805542483,50.417582851585
250mN303550E445300,11.85911440505264,50.41752589794478
250mN303550E445325,11.862630746890838,50.417468836505805
250mN303550E445350,11.86614708092475,50.417411667268425
250mN303550E445375,11.869663407139688,50.417354390233086
250mN303550E445400,11.873179725520943,50.41729700540014
250mN303550E445425,11.876696036053835,50.41723951276996
250mN303550E445450,11.88021233872366,50.417181912343
250mN303550E445475,11.883728633515727,50.417124204119574
250mN303550E445500,11.887244920415345,50.41706638810012
250mN303550E445525,11.890761199407828,50.41700846428501
250mN303550E445550,11.894277470478478,50.416950432674625
250mN303550E445575,11.897793733612595,50.41689229326938
250mN303550E445600,11.901309988795507,50.41683404606964
250mN303550E445625,11.904826236012507,50.41677569107586
250mN303550E445650,11.908342475248908,50.41671722828835
250mN303550E445675,11.911858706490019,50.41665865770758
250mN303550E445700,11.91537492972115,50.41659997933389
250mN303550E445725,11.918891144927612,50.4165411931677
250mN303550E445750,11.922407352094714,50.416482299209406
250mN303550E445775,11.925923551207761,50.41642329745941
250mN303550E445800,11.929439742252077,50.416364187918106
250mN303550E445825,11.932955925212957,50.416304970585884
250mN303550E445850,11.936472100075719,50.41624564546315
250mN303550E445875,11.939988266825681,50.41618621255032
250mN303550E445900,11.943504425448142,50.416126671847785
250mN303550E445925,11.94702057592842,50.416067023355964
250mN303550E445950,11.95053671825183,50.41600726707521
250mN303525E444525,11.750020811169055,50.41699447264994
250mN303525E444550,11.7535372206229,50.41694075608452
250mN303525E444575,11.757053622729416,50.41688693171498
250mN303525E444600,11.76057001747391,50.4168329995417
250mN303525E444625,11.764086404841684,50.41677895956503
250mN303525E444650,11.767602784818044,50.41672481178537
250mN303525E444675,11.77111915738827,50.416670556203044
250mN303525E444700,11.774635522537691,50.41661619281846
250mN303525E444725,11.778151880251595,50.41656172163198
250mN303525E444750,11.781668230515281,50.416507142643916
250mN303525E444775,11.78518457331407,50.416452455854696
250mN303525E444800,11.78870090863324,50.41639766126468
250mN303525E444825,11.792217236458114,50.41634275887423
250mN303525E444850,11.795733556773987,50.41628774868369
